country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha
HU,HU-BA,Baranya,Z2,36,0,0.33,0.33,0.33,5.35,0.33,0.32,0.16,5.35,5.14
HU,HU-BE,Békés,Z1,36,0,6.44,6.58,6.52,11.5,6.52,6.26,3.26,11.5,11.04
HU,HU-BK,Bács-Kiskun,Z1,36,0,28.59,34.83,32.33,33.81,32.33,31.04,16.17,33.81,32.45
HU,HU-BO,Borsod,Z1,36,0,0.33,0.33,0.33,5.59,0.33,0.32,0.16,5.59,5.37
HU,HU-CS,Csongrád-Csanád,Z1,36,0,11.28,14.17,13.01,16.34,13.01,12.49,6.51,16.34,15.69
HU,HU-FE,Fejér,Z2,36,0,2.87,5.95,4.72,7.92,4.72,4.53,2.36,7.92,7.6
HU,HU-GS,Győr-Moson-Sopron,Z3,36,0,4.32,3.7,3.95,9.36,3.95,3.79,1.97,9.36,8.98
HU,HU-HB,Hajdú-Bihar,Z1,36,0,4.26,6.97,5.89,9.33,5.89,5.65,2.94,9.33,8.96
HU,HU-HE,Heves,Z2,36,0,0.42,0.39,0.41,5.49,0.41,0.39,0.2,5.49,5.27
HU,HU-JN,Jász-Nagykun-Szolnok,Z1,36,0,6.35,8.4,7.58,11.39,7.58,7.28,3.79,11.39,10.93
HU,HU-KE,Komárom-Esztergom,Z2,36,0,1.38,0.77,1.01,6.42,1.01,0.97,0.51,6.42,6.16
HU,HU-NO,Nógrád,Z2,36,0,1.18,1.21,1.2,6.4,1.2,1.15,0.6,6.4,6.14
HU,HU-PE,Pest,Z2,36,0,3.61,6.99,5.64,8.82,5.64,5.41,2.82,8.82,8.46
HU,HU-SO,Somogy,Z3,36,0,23.15,27.87,25.98,28.19,25.98,24.94,12.99,28.19,27.07
HU,HU-SZ,Szabolcs-Szatmár-Bereg,Z1,36,0,27.61,32.44,30.51,32.68,30.51,29.29,15.25,32.68,31.37
HU,HU-TO,Tolna,Z2,36,0,9.9,16.25,13.71,14.95,13.71,13.16,6.86,14.95,14.35
HU,HU-VA,Vas,Z3,36,0,0.33,0.33,0.33,5.5,0.33,0.32,0.16,5.5,5.28
HU,HU-VE,Veszprém,Z3,36,0,0.33,0.33,0.33,5.37,0.33,0.32,0.16,5.37,5.15
HU,HU-ZA,Zala,Z3,36,0,0.45,0.39,0.42,5.46,0.42,0.4,0.21,5.46,5.24
